date_de_tirage;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;boule_1_second_tirage;boule_2_second_tirage;boule_3_second_tirage;boule_4_second_tirage;boule_5_second_tirage;
29/01/2022;42;29;25;46;8;9;2;13;14;20;41;
31/01/2022;25;32;31;36;10;8;5;32;35;40;44;
02/02/2022;11;37;49;28;40;4;5;15;26;29;44;
05/02/2022;48;31;24;11;38;9;12;19;39;42;48;
07/02/2022;37;15;18;31;46;3;4;28;35;36;37;
09/02/2022;44;48;31;46;21;1;8;16;19;22;32;
12/02/2022;45;22;28;40;37;10;17;22;41;46;49;
14/02/2022;26;13;29;15;20;5;3;15;45;47;48;
16/02/2022;22;24;41;21;32;2;10;17;19;46;48;
19/02/2022;32;24;49;39;40;1;7;17;20;36;44;
21/02/2022;2;6;10;32;17;5;4;7;15;18;42;
23/02/2022;33;15;6;12;14;8;5;26;29;30;34;
26/02/2022;29;39;28;22;30;3;27;29;32;42;46;
28/02/2022;43;9;21;36;27;2;3;4;12;32;36;
02/03/2022;46;4;3;43;22;6;3;25;30;35;47;
05/03/2022;37;26;36;14;1;3;13;25;30;33;49;
07/03/2022;8;27;29;15;41;4;7;16;27;30;43;
09/03/2022;32;8;21;41;25;4;7;12;20;22;37;
12/03/2022;16;47;33;21;5;5;5;14;16;22;23;
14/03/2022;11;5;32;49;9;6;21;22;27;28;29;
16/03/2022;1;49;12;39;24;3;7;24;33;34;36;
19/03/2022;44;38;33;49;41;7;2;8;19;21;30;
21/03/2022;10;26;46;35;5;9;14;30;36;39;40;
23/03/2022;20;2;29;39;18;10;21;22;27;29;32;
26/03/2022;40;10;37;34;12;5;20;25;33;42;45;
28/03/2022;16;48;21;5;26;10;3;8;24;33;38;
30/03/2022;12;34;16;26;10;7;4;5;17;30;37;
02/04/2022;15;6;11;28;24;10;1;2;19;25;26;
04/04/2022;23;22;33;36;10;6;3;18;27;39;44;
06/04/2022;6;20;48;12;38;7;15;24;36;41;49;
09/04/2022;3;15;13;29;40;10;10;18;24;28;38;
11/04/2022;32;3;22;18;17;10;8;13;15;29;41;
13/04/2022;36;29;44;46;35;8;2;9;11;12;24;
16/04/2022;4;41;30;27;21;6;1;19;20;44;45;
18/04/2022;10;39;33;9;47;5;5;24;27;30;45;
20/04/2022;45;46;4;13;33;7;14;19;39;43;44;
23/04/2022;44;20;11;9;42;4;3;35;39;43;44;
25/04/2022;31;36;42;23;8;7;2;22;43;45;47;
27/04/2022;8;13;1;43;31;10;13;18;27;30;40;
30/04/2022;6;27;5;21;47;9;8;13;20;31;35;
02/05/2022;46;20;13;47;8;7;2;3;13;23;49;
04/05/2022;37;30;17;12;41;2;10;13;30;31;40;
07/05/2022;23;37;38;7;15;3;12;18;19;24;42;
09/05/2022;6;33;7;9;15;2;20;25;29;42;48;
11/05/2022;23;45;7;2;46;10;7;23;27;32;39;
14/05/2022;4;44;29;32;24;4;30;33;46;48;49;
16/05/2022;21;33;4;14;32;1;4;13;24;27;29;
18/05/2022;14;23;22;45;36;7;3;6;19;27;45;
21/05/2022;1;12;41;7;21;4;13;29;32;44;45;
23/05/2022;30;26;48;41;47;6;5;13;18;43;49;
25/05/2022;37;30;24;27;45;10;8;9;24;31;39;
28/05/2022;20;27;21;26;7;7;1;8;11;36;44;
30/05/2022;22;12;38;13;14;2;9;19;29;31;38;
01/06/2022;33;4;35;22;2;7;3;5;6;14;24;
